,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
235,상추,우유,,,,,,,,,,,,,,,
236,콩국물,,,,,,,,,,,,,,,,
237,콩국물,유기농성이시돌목장우유,,,,,,,,,,,,,,,
238,콩국물,오이,도토리묵,,,,,,,,,,,,,,
239,유정란/친환경,우유,,,,,,,,,,,,,,,
240,유기농우유,유기농우유,우유,,,,,,,,,,,,,,
241,유기농우유,,,,,,,,,,,,,,,,
242,우유,,,,,,,,,,,,,,,,
243,유기농우유,,,,,,,,,,,,,,,,
244,유기농성이시돌목장우유,,,,,,,,,,,,,,,,
245,콩나물,,,,,,,,,,,,,,,,
246,콩국물,유기농우유,,,,,,,,,,,,,,,
247,유기농우유,,,,,,,,,,,,,,,,
248,유기농우유,,,,,,,,,,,,,,,,
249,가지,,,,,,,,,,,,,,,,
250,두부,,,,,,,,,,,,,,,,
251,어린잎채소,,,,,,,,,,,,,,,,
252,백미/유,,,,,,,,,,,,,,,,
253,도토리묵,,,,,,,,,,,,,,,,
254,두부,우유,,,,,,,,,,,,,,,
255,우유,,,,,,,,,,,,,,,,
256,완숙토마토,,,,,,,,,,,,,,,,
257,우유,,,,,,,,,,,,,,,,
258,두부,,,,,,,,,,,,,,,,
259,유정란/친환경,깐마늘/난지형/유,도토리묵,,,,,,,,,,,,,,
260,오이,유기농우유,우유,단무지,양배추,,,,,,,,,,,,
261,무,중파,,,,,,,,,,,,,,,
262,유기농우유,우유,,,,,,,,,,,,,,,
263,유기농우유,,,,,,,,,,,,,,,,
264,유기농우유,,,,,,,,,,,,,,,,
265,쌈채소모음,우유,깻잎,깻잎,,,,,,,,,,,,,
266,앞다리불고기-성남용인,,,,,,,,,,,,,,,,
267,검은콩두유,,,,,,,,,,,,,,,,
268,앞다리불고기-성남용인,어린잎채소,,,,,,,,,,,,,,,
269,오이,앞다리불고기-성남용인,양배추,,,,,,,,,,,,,,
270,대파,명태참어묵,,,,,,,,,,,,,,,
271,브로컬리,,,,,,,,,,,,,,,,
272,상추,,,,,,,,,,,,,,,,
273,중파,,,,,,,,,,,,,,,,
274,유정란/친환경,,,,,,,,,,,,,,,,
275,유정란/친환경,,,,,,,,,,,,,,,,
276,두부,브로컬리,,,,,,,,,,,,,,,
277,두부,오이,중파,,,,,,,,,,,,,,
278,중파,,,,,,,,,,,,,,,,
279,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,
280,두부,어린잎채소,부추,,,,,,,,,,,,,,
281,유정란/친환경,,,,,,,,,,,,,,,,
282,유정란/친환경,,,,,,,,,,,,,,,,
283,양파,,,,,,,,,,,,,,,,
284,두부,,,,,,,,,,,,,,,,
285,찌개용두부,,,,,,,,,,,,,,,,
286,유기농저지방우유,,,,,,,,,,,,,,,,
287,양파,사과/,깻잎,,,,,,,,,,,,,,
288,양파,,,,,,,,,,,,,,,,
289,유기농저지방우유,,,,,,,,,,,,,,,,
290,유정란/친환경,,,,,,,,,,,,,,,,
291,두부,양파,시금치,애호박,명태참어묵,,,,,,,,,,,,
292,유정란/친환경,,,,,,,,,,,,,,,,
293,애호박,,,,,,,,,,,,,,,,
294,유정란/친환경,유기농저지방우유,,,,,,,,,,,,,,,
295,콩나물,,,,,,,,,,,,,,,,
296,콩나물,백미/유,,,,,,,,,,,,,,,
297,유정란/친환경,동물복지유정란,유기농저지방우유,,,,,,,,,,,,,,
298,유정란/친환경,깻잎,,,,,,,,,,,,,,,
299,애호박,어린잎채소,,,,,,,,,,,,,,,
300,양파,오이,콩나물,부추,,,,,,,,,,,,,
301,딸기/,,,,,,,,,,,,,,,,
302,동물복지유정란,,,,,,,,,,,,,,,,
303,동물복지유정란,,,,,,,,,,,,,,,,
304,유정란/친환경,찌개용두부,,,,,,,,,,,,,,,
305,유정란/친환경,,,,,,,,,,,,,,,,
306,유정란/친환경,,,,,,,,,,,,,,,,
307,검은콩두유,,,,,,,,,,,,,,,,
308,유정란/친환경,검은콩두유,,,,,,,,,,,,,,,
309,검은콩두유,,,,,,,,,,,,,,,,
310,쌈채소모음,검은콩두유,,,,,,,,,,,,,,,
311,검은콩두유,,,,,,,,,,,,,,,,
312,콩나물,대파,,,,,,,,,,,,,,,
