,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,all-confidence,collective strength,cosine similarity
55,frozenset({'양파'}),frozenset({'오이'}),0.06689524875795956,0.07907074382478484,0.005597928766356448,0.08368200836820083,1.058318213796423,0.00030847168872057216,1.0050323845930431,0.05905511811023614,{'오이 => 양파': 0.07079646017699115},3.0060081092178232,0.07697005893832984
54,frozenset({'오이'}),frozenset({'양파'}),0.07907074382478484,0.06689524875795956,0.005597928766356448,0.07079646017699115,1.058318213796423,0.00030847168872057216,1.0041984465747673,0.059835878732619016,{'오이 => 양파': 0.07079646017699115},3.0060081092178232,0.07697005893832984
21,frozenset({'찌개용두부'}),frozenset({'콩나물'}),0.09012665313833881,0.10041284724651879,0.009166608354908684,0.10170807453416149,1.0128990196290604,0.0001167345004886855,1.0014418779139878,0.013996182912575105,{'콩나물 => 찌개용두부': 0.09128919860627177},3.0019203688593885,0.09635791932171721
20,frozenset({'콩나물'}),frozenset({'찌개용두부'}),0.10041284724651879,0.09012665313833881,0.009166608354908684,0.09128919860627177,1.0128990196290604,0.0001167345004886855,1.0012793349282851,0.014156220162742232,{'콩나물 => 찌개용두부': 0.09128919860627177},3.0019203688593885,0.09635791932171721
3,frozenset({'두부'}),frozenset({'콩나물'}),0.21188160380659157,0.10041284724651879,0.020432439997201037,0.0964332892998679,0.9603680399891373,-0.0008431951201776575,0.9955957231496861,-0.049756660206113655,{'두부 => 콩나물': 0.0964332892998679},2.9891827315728596,0.14008091359035182
2,frozenset({'콩나물'}),frozenset({'두부'}),0.10041284724651879,0.21188160380659157,0.020432439997201037,0.2034843205574913,0.9603680399891373,-0.0008431951201776575,0.989457479035469,-0.043861686737168164,{'두부 => 콩나물': 0.0964332892998679},2.9891827315728596,0.14008091359035182
18,frozenset({'유정란/친환경'}),frozenset({'중파'}),0.20859282065635715,0.04940172136309565,0.009516478902805962,0.04562227440456223,0.9234956423733695,-0.0007883655016015772,0.9960398835207775,-0.09475802892000205,{'유정란/친환경 => 중파': 0.04562227440456223},2.989280317257352,0.09374660952524848
19,frozenset({'중파'}),frozenset({'유정란/친환경'}),0.04940172136309565,0.20859282065635715,0.009516478902805962,0.1926345609065156,0.9234956423733695,-0.0007883655016015772,0.9802341554677401,-0.08016150793848356,{'유정란/친환경 => 중파': 0.04562227440456223},2.989280317257352,0.09374660952524848
42,frozenset({'가지'}),frozenset({'유정란/친환경'}),0.03358757259813869,0.20859282065635715,0.006437618081309915,0.19166666666666668,0.9188555294643856,-0.0005685084259360032,0.9790604280539911,-0.08372851044190598,{'유정란/친환경 => 가지': 0.030862126803086212},2.9921024918747356,0.07691060375911456
43,frozenset({'유정란/친환경'}),frozenset({'가지'}),0.20859282065635715,0.03358757259813869,0.006437618081309915,0.030862126803086212,0.9188555294643855,-0.0005685084259360032,0.9971877625769984,-0.10038491200282189,{'유정란/친환경 => 가지': 0.030862126803086212},2.9921024918747356,0.07691060375911456
37,frozenset({'두부'}),frozenset({'대파'}),0.21188160380659157,0.036666433419634735,0.007067385067525016,0.0333553500660502,0.9096971522784798,-0.0007015576512947996,0.9965746633431315,-0.11186452058174144,{'두부 => 대파': 0.0333553500660502},2.9903665435512243,0.08018216802994889
36,frozenset({'대파'}),frozenset({'두부'}),0.036666433419634735,0.21188160380659157,0.007067385067525016,0.19274809160305345,0.9096971522784798,-0.0007015576512947996,0.9762979659700852,-0.09341886672386861,{'두부 => 대파': 0.0333553500660502},2.9903665435512243,0.08018216802994889
