,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
226,방울토마토/대추형,,,,,,,,,,,,,,,,,,
227,두부,브로컬리,양배추,,,,,,,,,,,,,,,,
228,어린잎채소,당근,,,,,,,,,,,,,,,,,
229,유정란/친환경,방울토마토/대추형,부추,양배추,,,,,,,,,,,,,,,
230,두부,어린잎채소,,,,,,,,,,,,,,,,,
231,가지,,,,,,,,,,,,,,,,,,
232,방울토마토/대추형,부추,,,,,,,,,,,,,,,,,
233,방울토마토/대추형,어린잎채소,양배추,,,,,,,,,,,,,,,,
234,두부,양파,방울토마토/대추형,어린잎채소,사과,,,,,,,,,,,,,,
235,콩나물,상추,누룽지,사과,,,,,,,,,,,,,,,
236,상추,어린잎채소,,,,,,,,,,,,,,,,,
237,두부,유정란/친환경,가지,,,,,,,,,,,,,,,,
238,두부,양파,오이,사과,구운도시락김,,,,,,,,,,,,,,
239,유정란/친환경,,,,,,,,,,,,,,,,,,
240,유정란/친환경,,,,,,,,,,,,,,,,,,
241,유정란/친환경,,,,,,,,,,,,,,,,,,
242,유정란/친환경,양배추,,,,,,,,,,,,,,,,,
243,유정란/친환경,,,,,,,,,,,,,,,,,,
244,양배추,,,,,,,,,,,,,,,,,,
245,유정란/친환경,,,,,,,,,,,,,,,,,,
246,유정란/친환경,,,,,,,,,,,,,,,,,,
247,떡국떡,찹쌀백미/유,,,,,,,,,,,,,,,,,
248,유정란/친환경,양배추,,,,,,,,,,,,,,,,,
249,깻잎,,,,,,,,,,,,,,,,,,
250,유정란/친환경,,,,,,,,,,,,,,,,,,
251,유정란/친환경,,,,,,,,,,,,,,,,,,
252,유정란/친환경,,,,,,,,,,,,,,,,,,
253,유정란/친환경,양파,,,,,,,,,,,,,,,,,
254,유정란/친환경,오이,부추,,,,,,,,,,,,,,,,
255,유정란/친환경,,,,,,,,,,,,,,,,,,
256,두부,양파,,,,,,,,,,,,,,,,,
257,유정란/친환경,오이,부추,,,,,,,,,,,,,,,,
258,부추,,,,,,,,,,,,,,,,,,
259,방울토마토/대추형,,,,,,,,,,,,,,,,,,
260,오이,,,,,,,,,,,,,,,,,,
