,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift,antecedents,consequents,lift
95,,,,,,,,,,({'두부'}),({'부추'}),0.9604381015599068,,,
56,,,,,,,,,,({'콩나물'}),({'중파'}),0.903003652379876,({'당근'}),({'양파'}),1.4412881236714574
57,,,,,,,,,,({'중파'}),({'콩나물'}),0.9030036523798758,({'양파'}),({'당근'}),1.4412881236714574
93,,,,,,,,,,({'동물복지유정란'}),({'콩나물'}),0.8679533900211454,,,
92,,,,,,,,,,({'콩나물'}),({'동물복지유정란'}),0.8679533900211454,,,
81,,,,,,,,,,({'양파'}),({'찌개용두부'}),0.8323739010810589,,,
80,,,,,,,,,,({'찌개용두부'}),({'양파'}),0.8323739010810588,,,
60,,,,,,,,,,({'가지'}),({'유정란/친환경'}),0.8005656523333159,({'찌개용두부'}),({'오이'}),0.7364267850272082
61,,,,,,,,,,({'유정란/친환경'}),({'가지'}),0.8005656523333158,({'오이'}),({'찌개용두부'}),0.7364267850272082
69,,,,,,,,,,({'두부'}),({'가지'}),0.7958953823050932,({'완숙토마토'}),({'오이'}),2.005676191961326
68,,,,,,,,,,({'가지'}),({'두부'}),0.7958953823050932,({'오이'}),({'완숙토마토'}),2.005676191961326
82,,,,,,,,,,({'유정란/친환경'}),({'완숙토마토'}),0.7958466453674121,,,
83,,,,,,,,,,({'완숙토마토'}),({'유정란/친환경'}),0.7958466453674121,,,
58,,,,,,,,,,({'두부'}),({'시금치'}),0.7696013570822731,({'유정란/친환경'}),({'완숙토마토'}),0.8130841881106036
59,,,,,,,,,,({'시금치'}),({'두부'}),0.769601357082273,({'완숙토마토'}),({'유정란/친환경'}),0.8130841881106035
73,,,,,,,,,,({'애호박'}),({'유정란/친환경'}),0.7551687415078404,,,
72,,,,,,,,,,({'유정란/친환경'}),({'애호박'}),0.7551687415078404,,,
62,,,,,,,,,,({'브로컬리'}),({'두부'}),0.7497167446810946,({'콩나물'}),({'양파'}),0.7812932806554603
63,,,,,,,,,,({'두부'}),({'브로컬리'}),0.7497167446810945,({'양파'}),({'콩나물'}),0.7812932806554604
54,,,,,,,,,,({'유정란/친환경'}),({'백미/유'}),0.7325480947222641,({'오이'}),({'양파'}),1.058318213796423
55,,,,,,,,,,({'백미/유'}),({'유정란/친환경'}),0.7325480947222641,({'양파'}),({'오이'}),1.058318213796423
96,,,,,,,,,,({'두부'}),({'애호박'}),0.7254540668596998,,,
97,,,,,,,,,,({'애호박'}),({'두부'}),0.7254540668596998,,,
75,,,,,,,,,,({'백미/유'}),({'두부'}),0.6737214559512499,,,
74,,,,,,,,,,({'두부'}),({'백미/유'}),0.6737214559512499,,,
