,0,1,2,3,4,5,6,7,8,9,10,11
415,완숙토마토,,,,,,,,,,,
416,두부,양파,,,,,,,,,,
417,깐마늘/난지형/유,,,,,,,,,,,
418,느타리버섯,,,,,,,,,,,
419,콩나물,가지,가지,,,,,,,,,
420,중파,,,,,,,,,,,
421,유정란/친환경,어린잎채소,명태참어묵,,,,,,,,,
422,양파,콩나물,방울토마토/대추형,애호박,명태참어묵,,,,,,,
423,앞다리불고기-성남용인,,,,,,,,,,,
424,애호박,명태참어묵,깻잎,,,,,,,,,
425,방울토마토/대추형,애호박,명태참어묵,,,,,,,,,
426,명태참어묵,,,,,,,,,,,
427,당근,,,,,,,,,,,
428,콩나물,,,,,,,,,,,
429,브로컬리,,,,,,,,,,,
430,시금치,,,,,,,,,,,
431,콩나물,,,,,,,,,,,
432,유정란/친환경,,,,,,,,,,,
433,두부,,,,,,,,,,,
434,사골곰국,콩나물,,,,,,,,,,
435,두부,콩나물,,,,,,,,,,
436,동물복지유정란,,,,,,,,,,,
437,명태참어묵,구운김밥김,,,,,,,,,,
438,유정란/친환경,,,,,,,,,,,
439,딸기잼,방울토마토/대추형,,,,,,,,,,
440,무쌈,,,,,,,,,,,
441,두부,,,,,,,,,,,
442,연두부,얼음식혜,,,,,,,,,,
443,떡국떡,연두부,연두부,찌개용두부,상큼한감귤&한라봉,,,,,,,
444,찌개용두부,상큼한감귤&한라봉,,,,,,,,,,
445,찌개용두부,,,,,,,,,,,
446,연두부,,,,,,,,,,,
447,연두부,,,,,,,,,,,
448,얼음식혜,,,,,,,,,,,
449,두부,어린잎채소,찌개용두부,,,,,,,,,
450,연두부,,,,,,,,,,,
451,두부,,,,,,,,,,,
452,도토리묵,,,,,,,,,,,
453,양파,,,,,,,,,,,
454,두부,,,,,,,,,,,
455,당근,,,,,,,,,,,
456,당근,찌개용두부,,,,,,,,,,
457,상추,,,,,,,,,,,
458,양파,,,,,,,,,,,
459,양파,콩나물,,,,,,,,,,
460,두부,,,,,,,,,,,
461,두부,,,,,,,,,,,
462,콩나물,,,,,,,,,,,
463,콩나물,,,,,,,,,,,
464,양파,,,,,,,,,,,
465,두부,,,,,,,,,,,
466,두부,,,,,,,,,,,
467,찌개용두부,도토리묵,,,,,,,,,,
468,명태참어묵,,,,,,,,,,,
469,도토리묵,,,,,,,,,,,
470,구운전장김,,,,,,,,,,,
471,느타리버섯,,,,,,,,,,,
472,연두부,,,,,,,,,,,
473,연두부,누룽지,,,,,,,,,,
474,도토리묵,,,,,,,,,,,
475,사골곰국,,,,,,,,,,,
476,백미/유,,,,,,,,,,,
477,떡국떡,,,,,,,,,,,
478,백미/유,,,,,,,,,,,
479,콩나물,구운김밥김,,,,,,,,,,
480,두부,양배추,,,,,,,,,,
481,두부,도토리묵,,,,,,,,,,
482,백미/유,,,,,,,,,,,
483,사골곰국,구운김밥김,,,,,,,,,,
484,누룽지,,,,,,,,,,,
485,찌개용두부,단무지,,,,,,,,,,
486,당근,,,,,,,,,,,
487,당근,,,,,,,,,,,
488,유정란/친환경,동물복지유정란,,,,,,,,,,
489,유정란/친환경,앞다리불고기-성남용인,,,,,,,,,,
490,중파,,,,,,,,,,,
491,당근,,,,,,,,,,,
492,앞다리불고기-성남용인,,,,,,,,,,,
493,유정란/친환경,,,,,,,,,,,
494,콩나물,유기농우유,,,,,,,,,,
495,애호박,가지,,,,,,,,,,
496,두부,두부,연두부,앞다리불고기-성남용인,중파,깻잎,느타리버섯,,,,,
497,애호박,유기농우유,,,,,,,,,,
498,유정란/친환경,가지,,,,,,,,,,
499,두부,앞다리불고기-성남용인,,,,,,,,,,
500,콩나물,,,,,,,,,,,
501,찌개용두부,,,,,,,,,,,
502,앞다리불고기-성남용인,,,,,,,,,,,
503,당근,현미유,,,,,,,,,,
504,유기농저지방우유,,,,,,,,,,,
505,검은콩두유,,,,,,,,,,,
506,딸기잼,,,,,,,,,,,
507,유정란/친환경,,,,,,,,,,,
508,동물복지유정란,,,,,,,,,,,
509,당근,,,,,,,,,,,
510,느타리버섯,,,,,,,,,,,
511,대파,,,,,,,,,,,
512,유정란/친환경,깐마늘/난지형/유,당근,,,,,,,,,
513,연두부,대파,,,,,,,,,,
514,두부,동물복지유정란,연두부,당근,,,,,,,,
515,두부,당근,,,,,,,,,,
516,당근,대파,,,,,,,,,,
517,동물복지유정란,찌개용두부,,,,,,,,,,
518,브로컬리,,,,,,,,,,,
519,당근,,,,,,,,,,,
520,당근,,,,,,,,,,,
521,상추,양배추,,,,,,,,,,
522,당근,,,,,,,,,,,
523,유정란/친환경,양파,상추,브로컬리,당근,찌개용두부,,,,,,
524,상추,브로컬리,대파,,,,,,,,,
525,두부,,,,,,,,,,,
526,어린잎채소,느타리버섯,,,,,,,,,,
527,당근,,,,,,,,,,,
528,상추,당근,,,,,,,,,,
529,상추,,,,,,,,,,,
530,양파,연두부,유기농우유,,,,,,,,,
531,두부,당근,,,,,,,,,,
532,오이,,,,,,,,,,,
533,두부,브로컬리,,,,,,,,,,
534,누룽지,중파,,,,,,,,,,
535,오이,깐마늘/난지형/유,당근,,,,,,,,,
536,오이,,,,,,,,,,,
537,완숙토마토,,,,,,,,,,,
538,어린잎채소,완숙토마토,,,,,,,,,,
539,사과/,완숙토마토,누룽지,당근,,,,,,,,
540,유정란/친환경,,,,,,,,,,,
541,오이,연두부,,,,,,,,,,
542,두부,브로컬리,,,,,,,,,,
543,오이,완숙토마토,브로컬리,당근,,,,,,,,
544,완숙토마토,브로컬리,,,,,,,,,,
545,사과/,중파,,,,,,,,,,
546,누룽지,,,,,,,,,,,
547,완숙토마토,,,,,,,,,,,
548,유정란/친환경,완숙토마토,,,,,,,,,,
549,딸기잼,,,,,,,,,,,
550,완숙토마토,브로컬리,당근,,,,,,,,,
551,연두부,,,,,,,,,,,
552,브로컬리,,,,,,,,,,,
553,오이,상추,,,,,,,,,,
554,브로컬리,당근,,,,,,,,,,
555,유정란/친환경,브로컬리,,,,,,,,,,
556,오이,완숙토마토,당근,,,,,,,,,
557,당근,,,,,,,,,,,
558,두부,깻잎,,,,,,,,,,
559,두부,,,,,,,,,,,
560,당근,,,,,,,,,,,
561,유정란/친환경,완숙토마토,,,,,,,,,,
562,두부,유정란/친환경,완숙토마토,당근,,,,,,,,
563,중파,,,,,,,,,,,
564,어린잎채소,가지,깻잎,,,,,,,,,
565,유정란/친환경,,,,,,,,,,,
566,오이,,,,,,,,,,,
567,동물복지유정란,,,,,,,,,,,
568,도토리묵,,,,,,,,,,,
569,두부,,,,,,,,,,,
570,유정란/친환경,,,,,,,,,,,
571,두부,,,,,,,,,,,
572,어린잎채소,,,,,,,,,,,
573,유기농우유,,,,,,,,,,,
574,현미유,,,,,,,,,,,
575,찌개용두부,,,,,,,,,,,
576,상추,깐마늘/난지형/유,검은콩두유,,,,,,,,,
577,단무지,,,,,,,,,,,
578,명태참어묵,단무지,,,,,,,,,,
579,명태참어묵,,,,,,,,,,,
580,명태참어묵,단무지,,,,,,,,,,
581,단무지,,,,,,,,,,,
582,두부,,,,,,,,,,,
583,유정란/친환경,명태참어묵,,,,,,,,,,
584,깻잎,,,,,,,,,,,
585,명태참어묵,,,,,,,,,,,
586,명태참어묵,,,,,,,,,,,
587,명태참어묵,,,,,,,,,,,
588,단무지,,,,,,,,,,,
589,유정란/친환경,명태참어묵,,,,,,,,,,
590,유정란/친환경,찌개용두부,,,,,,,,,,
591,명태참어묵,,,,,,,,,,,
592,대파,,,,,,,,,,,
593,유정란/친환경,찌개용두부,,,,,,,,,,
594,유정란/친환경,,,,,,,,,,,
