,0,1,2,3,4,5,6,7,8,9,10,11,12
348,유정란/친환경,딸기잼,당근,,,,,,,,,,
349,하늘바다새우,찌개용두부,,,,,,,,,,,
350,하늘바다새우,닭가슴살,,,,,,,,,,,
351,유정란/친환경,콩나물,,,,,,,,,,,
352,두부,유정란/친환경,명태참어묵,,,,,,,,,,
353,유정란/친환경,백미/유,명태참어묵,,,,,,,,,,
354,무,가지,,,,,,,,,,,
355,유정란/친환경,청경채,사과당근즙,,,,,,,,,,
356,두부,유정란/친환경,오이,콩나물,,,,,,,,,
357,오이,무,당근,,,,,,,,,,
358,두부,유정란/친환경,가지,,,,,,,,,,
359,유정란/친환경,백미/유,,,,,,,,,,,
360,단무지,,,,,,,,,,,,
361,양배추,,,,,,,,,,,,
362,명태참어묵,,,,,,,,,,,,
363,동물복지유정란,명태참어묵,양배추,,,,,,,,,,
364,두부,유정란/친환경,,,,,,,,,,,
365,찌개용두부,양배추,,,,,,,,,,,
366,찌개용두부,,,,,,,,,,,,
367,동물복지유정란,찌개용두부,,,,,,,,,,,
368,찌개용두부,,,,,,,,,,,,
369,양배추,,,,,,,,,,,,
370,양배추,,,,,,,,,,,,
371,브로컬리,,,,,,,,,,,,
372,브로컬리,,,,,,,,,,,,
373,양배추,,,,,,,,,,,,
374,양배추,,,,,,,,,,,,
375,양배추,,,,,,,,,,,,
376,찌개용두부,양배추,,,,,,,,,,,
377,두부,,,,,,,,,,,,
378,찌개용두부,,,,,,,,,,,,
379,찌개용두부,,,,,,,,,,,,
380,명태참어묵,,,,,,,,,,,,
381,찌개용두부,,,,,,,,,,,,
382,두부,,,,,,,,,,,,
383,유정란/친환경,,,,,,,,,,,,
384,유정란/친환경,,,,,,,,,,,,
385,두부,찌개용두부,,,,,,,,,,,
386,유정란/친환경,,,,,,,,,,,,
387,누룽지,,,,,,,,,,,,
388,두부,애호박,백미/유,,,,,,,,,,
389,오이,,,,,,,,,,,,
390,유정란/친환경,찌개용두부,,,,,,,,,,,
391,유정란/친환경,,,,,,,,,,,,
392,유정란/친환경,쥬키니호박,,,,,,,,,,,
393,양파,딸기잼,동물복지유정란,대파,검은콩두유,,,,,,,,
394,유정란/친환경,,,,,,,,,,,,
395,검은콩두유,,,,,,,,,,,,
396,동물복지유정란,,,,,,,,,,,,
397,사과/,상큼한포도,,,,,,,,,,,
398,사과/,,,,,,,,,,,,
399,유정란/친환경,,,,,,,,,,,,
400,유정란/친환경,,,,,,,,,,,,
401,딸기잼,,,,,,,,,,,,
402,양파,찌개용두부,,,,,,,,,,,
403,양파,양배추,,,,,,,,,,,
404,찌개용두부,,,,,,,,,,,,
405,유정란/친환경,오이,,,,,,,,,,,
406,양파,오이,,,,,,,,,,,
407,유정란/친환경,오이,,,,,,,,,,,
408,양파,,,,,,,,,,,,
409,찌개용두부,,,,,,,,,,,,
410,양파,팽이버섯,,,,,,,,,,,
411,동물복지유정란,오이,양송이버섯,,,,,,,,,,
412,동물복지유정란,,,,,,,,,,,,
413,찌개용두부,,,,,,,,,,,,
414,중파,,,,,,,,,,,,
415,찌개용두부,,,,,,,,,,,,
416,검은콩두유,,,,,,,,,,,,
417,어린잎채소,팽이버섯,가지,,,,,,,,,,
418,중파,,,,,,,,,,,,
419,유정란/친환경,,,,,,,,,,,,
420,유기농성이시돌목장우유,,,,,,,,,,,,
421,유기농성이시돌목장우유,,,,,,,,,,,,
422,유정란/친환경,,,,,,,,,,,,
423,유기농성이시돌목장우유,,,,,,,,,,,,
424,유정란/친환경,,,,,,,,,,,,
425,팽이버섯,,,,,,,,,,,,
426,양파,가지,,,,,,,,,,,
427,유정란/친환경,양배추,,,,,,,,,,,
428,유정란/친환경,양파,찌개용두부,양송이버섯,,,,,,,,,
429,방울토마토/대추형,연두부,어린잎채소,검은콩두유,,,,,,,,,
430,당근,,,,,,,,,,,,
431,오이,양배추,,,,,,,,,,,
432,오이,,,,,,,,,,,,
433,팽이버섯,양송이버섯,,,,,,,,,,,
434,오이,,,,,,,,,,,,
435,양파,동물복지유정란,오이,,,,,,,,,,
436,유정란/친환경,,,,,,,,,,,,
437,오이,가지,,,,,,,,,,,
438,찌개용두부,,,,,,,,,,,,
439,양파,,,,,,,,,,,,
440,동물복지유정란,무,,,,,,,,,,,
441,무,,,,,,,,,,,,
442,유정란/친환경,,,,,,,,,,,,
443,청경채,,,,,,,,,,,,
444,유정란/친환경,양송이버섯,,,,,,,,,,,
445,양파,,,,,,,,,,,,
446,유정란/친환경,오이,,,,,,,,,,,
447,양파,,,,,,,,,,,,
448,유정란/친환경,,,,,,,,,,,,
449,당근,,,,,,,,,,,,
450,콩나물,,,,,,,,,,,,
451,두부,,,,,,,,,,,,
452,어린잎채소,,,,,,,,,,,,
453,유정란/친환경,양파,과일푸딩,닭가슴살,,,,,,,,,
454,과일푸딩,상큼한포도,,,,,,,,,,,
455,우유,,,,,,,,,,,,
456,당근,닭가슴살,,,,,,,,,,,
457,백미/유,,,,,,,,,,,,
458,어린잎채소,,,,,,,,,,,,
459,동물복지유정란,연두부,연두부,상큼한포도,,,,,,,,,
460,양파,,,,,,,,,,,,
461,과일푸딩,,,,,,,,,,,,
462,동물복지유정란,콩나물,어린잎채소,,,,,,,,,,
463,백미/유,당근,명태참어묵,닭가슴살,,,,,,,,,
464,동물복지유정란,하늘땅감자,팽이버섯,,,,,,,,,,
465,양파,어린잎채소,,,,,,,,,,,
466,동물복지유정란,,,,,,,,,,,,
467,양파,동물복지유정란,유기농성이시돌목장우유,,,,,,,,,,
468,두부,유정란/친환경,콩나물,닭가슴살,,,,,,,,,
469,두부,,,,,,,,,,,,
470,명태참어묵,,,,,,,,,,,,
471,닭가슴살,,,,,,,,,,,,
472,두부,콩나물,,,,,,,,,,,
473,양파,당근,,,,,,,,,,,
474,유정란/친환경,당근,,,,,,,,,,,
475,백미/유,,,,,,,,,,,,
476,유정란/친환경,,,,,,,,,,,,
477,양파,,,,,,,,,,,,
478,두부,양파,,,,,,,,,,,
479,백미/유,,,,,,,,,,,,
480,백미/유,하늘바다새우,,,,,,,,,,,
481,유정란/친환경,과일푸딩,,,,,,,,,,,
482,유정란/친환경,유정란/친환경,,,,,,,,,,,
483,두부,,,,,,,,,,,,
484,유정란/친환경,유기농우유,유기농성이시돌목장우유,,,,,,,,,,
485,유정란/친환경,얼음식혜,,,,,,,,,,,
486,유정란/친환경,,,,,,,,,,,,
487,유정란/친환경,연두부,브로컬리,양배추,,,,,,,,,
488,우유,,,,,,,,,,,,
489,유정란/친환경,가지,,,,,,,,,,,
490,두부,애호박,,,,,,,,,,,
491,7곡딸기롤과자,하늘바다새우,검은콩두유,,,,,,,,,,
492,동물복지유정란,,,,,,,,,,,,
493,가지,양배추,,,,,,,,,,,
494,애호박,,,,,,,,,,,,
495,동물복지유정란,콩나물,백미/유,,,,,,,,,,
496,유정란/친환경,가지,,,,,,,,,,,
497,두부,유정란/친환경,,,,,,,,,,,
498,동물복지유정란,콩나물,,,,,,,,,,,
499,상큼한포도,,,,,,,,,,,,
500,두부,,,,,,,,,,,,
501,유기농우유,,,,,,,,,,,,
502,동물복지유정란,명태참어묵,,,,,,,,,,,
503,우유,,,,,,,,,,,,
504,유정란/친환경,,,,,,,,,,,,
505,카스텔라,,,,,,,,,,,,
506,양파,시금치,,,,,,,,,,,
507,유정란/친환경,콩나물,당근,상큼한감귤&한라봉,,,,,,,,,
508,당근,상큼한감귤&한라봉,,,,,,,,,,,
509,시금치,,,,,,,,,,,,
510,유정란/친환경,유정란/친환경,양파,당근,당근,사과당근즙,사과당근즙,,,,,,
511,방울토마토/대추형,시금치,상큼한감귤&한라봉,,,,,,,,,,
512,브로컬리,,,,,,,,,,,,
513,상큼한감귤&한라봉,,,,,,,,,,,,
514,두부,사과당근즙,닭가슴살,,,,,,,,,,
515,양배추,,,,,,,,,,,,
516,상큼한감귤&한라봉,닭가슴살,,,,,,,,,,,
517,상큼한감귤&한라봉,,,,,,,,,,,,
518,유정란/친환경,,,,,,,,,,,,
519,콩나물,상큼한감귤&한라봉,,,,,,,,,,,
520,상큼한감귤&한라봉,,,,,,,,,,,,
521,양파,당근,,,,,,,,,,,
522,콩나물,대파,양배추,상큼한감귤&한라봉,,,,,,,,,
523,사과/,상큼한감귤&한라봉,,,,,,,,,,,
524,상큼한감귤&한라봉,,,,,,,,,,,,
525,상큼한감귤&한라봉,,,,,,,,,,,,
526,당근,,,,,,,,,,,,
527,오이,,,,,,,,,,,,
528,유정란/친환경,오이,양배추,닭가슴살,,,,,,,,,
529,두부,양파,상큼한감귤&한라봉,,,,,,,,,,
530,무,상큼한감귤&한라봉,,,,,,,,,,,
531,무,상큼한감귤&한라봉,,,,,,,,,,,
532,유정란/친환경,오이,방울토마토/대추형,양배추,닭가슴살,,,,,,,,
533,상큼한감귤&한라봉,닭가슴살,,,,,,,,,,,
534,양파,오이,,,,,,,,,,,
535,상큼한감귤&한라봉,,,,,,,,,,,,
536,콩나물,방울토마토/대추형,당근,,,,,,,,,,
537,오이,,,,,,,,,,,,
538,상큼한감귤&한라봉,,,,,,,,,,,,
539,오이,오이,방울토마토/대추형,방울토마토/대추형,하늘바다새우,,,,,,,,
540,상큼한감귤&한라봉,,,,,,,,,,,,
541,상큼한감귤&한라봉,,,,,,,,,,,,
542,오이,방울토마토/대추형,닭가슴살,,,,,,,,,,
543,당근,양배추,,,,,,,,,,,
544,오이,당근,,,,,,,,,,,
545,방울토마토/대추형,닭가슴살,,,,,,,,,,,
546,상큼한감귤&한라봉,닭가슴살,,,,,,,,,,,
547,하늘바다새우,,,,,,,,,,,,
548,상큼한포도,,,,,,,,,,,,
549,상큼한감귤&한라봉,,,,,,,,,,,,
550,오이,양배추,,,,,,,,,,,
