,회원번호,주문일시,전체물품명
260,48638336,2021-04-17,당근$월동무
261,48638336,2021-04-18,양파$백미/유$대파$도토리묵
262,48638336,2021-04-19,두부$오이$상추
263,48638336,2021-04-20,유정란/친환경$느타리버섯
264,48638336,2021-04-24,월동무$찌개용두부
265,48638336,2021-04-27,콩나물$중파
266,48638336,2021-04-28,애호박$백미/유
267,48638336,2021-05-02,양파$콩나물$부추$닭가슴살
268,48638336,2021-05-04,콩나물$사과/$애호박$깐마늘/난지형/유$월동무$유기농우유$중파
269,48638336,2021-05-07,두부$유정란/친환경$양파$백미/유$유기농우유$느타리버섯
270,48638336,2021-05-12,유정란/친환경$부추$도토리묵
271,48638336,2021-05-14,두부$양파$시금치
272,48638336,2021-05-16,오이$애호박$백미/유
273,48638336,2021-05-18,유정란/친환경$사과/$애호박$가지
274,48638336,2021-05-19,콩나물
275,48638336,2021-05-20,양파
276,48638336,2021-05-21,애호박$쌈채소모음
277,48638336,2021-05-24,오이$백미/유
278,48638336,2021-05-25,양배추
279,48638336,2021-05-27,오이$애호박$닭가슴살
280,48638336,2021-05-28,당근
281,48638336,2021-05-30,중파
282,48638336,2021-05-31,유정란/친환경$얼갈이
283,48638336,2021-06-01,양파
284,48638336,2021-06-04,팽이버섯
285,48638336,2021-06-06,연두부
286,48638336,2021-06-07,오이
287,48638336,2021-06-11,두부
288,48638336,2021-06-15,얼갈이$깻잎
289,48638336,2021-06-16,유기농우유
290,48638336,2021-06-18,무$유기농우유$중파
291,48638336,2021-06-19,느타리버섯
292,48638336,2021-06-20,당근$유기농우유
293,48638336,2021-06-25,콩나물
294,48638336,2021-06-27,감자라면
295,48638336,2021-07-02,유정란/친환경$가지
296,48638336,2021-07-04,백미/유$유기농우유
297,48638336,2021-07-06,양배추
298,48638336,2021-07-07,콩나물$중파
299,48638336,2021-07-09,가지
300,48638336,2021-07-12,가지
301,48638336,2021-07-17,무$당근
302,48638336,2021-07-18,얼갈이$가지
303,48638336,2021-07-19,닭가슴살
304,48638336,2021-07-22,유기농우유$중파
305,48638336,2021-07-24,오이
306,48638336,2021-07-27,방울토마토/대추형
307,48638336,2021-07-30,유정란/친환경$무$중파
308,48638336,2021-08-03,콩나물
309,48638336,2021-08-04,방울토마토/대추형$애호박$중파
310,48638336,2021-08-06,깻잎
311,48638336,2021-08-07,콩국물$중파
312,48638336,2021-08-13,구운도시락김
313,48638336,2021-08-18,방울토마토/대추형$부추
314,48638336,2021-08-19,도토리묵
315,48638336,2021-08-20,중파
316,48638336,2021-08-24,중파
317,48638336,2021-08-30,두부$유기농우유$부추
318,48638336,2021-09-01,당근
319,48638336,2021-09-05,상추$중파$구운도시락김
320,48638336,2021-09-10,두부$유기농우유$중파$사과
321,48638336,2021-09-12,브로컬리$양송이버섯$양배추$느타리버섯
322,48638336,2021-09-14,유기농우유$중파
323,48638336,2021-09-22,양파$방울토마토/대추형$유기농우유$유기농우유
324,48638336,2021-09-27,콩나물
325,48638336,2021-09-28,부추$사과
326,48638336,2021-10-01,두부
327,48638336,2021-10-03,방울토마토/대추형$중파
328,48638336,2021-10-08,시금치$애호박$가지
329,48638336,2021-10-10,깻잎
330,48638336,2021-10-12,양파
331,48638336,2021-10-13,양파$방울토마토/대추형$상추$백미/유$유기농우유
332,48638336,2021-10-17,브로컬리$깻잎
333,48638336,2021-10-19,두부$두부$유정란/친환경$유정란/친환경$애호박$무$무$유기농우유$도토리묵$느타리버섯
334,48638336,2021-10-20,백미/유$유기농우유
335,48638336,2021-10-24,양파$유기농우유
336,48638336,2021-10-28,무$사과$구운도시락김
337,48638336,2021-10-29,백미/유
338,48638336,2021-10-31,유정란/친환경
339,50776448,2021-01-05,양파
340,50776448,2021-01-10,당면
341,50776448,2021-01-20,양파$사과/$대파
342,50776448,2021-01-29,양파$당면
343,50776448,2021-02-03,양파$콩나물$사과/$시금치$연두부$당근$명태참어묵
344,50776448,2021-02-14,두부$양파$콩나물$시금치$대파$대파$깻잎$당면
345,50776448,2021-02-15,사과/
346,50776448,2021-03-03,두부$시금치$연두부
347,50776448,2021-03-24,콩나물$사과/
