,0,1,2,3,4,5,6,7,8,9,10,11,12,13
319,상추,중파,구운도시락김,,,,,,,,,,,
320,두부,유기농우유,중파,사과,,,,,,,,,,
321,브로컬리,양송이버섯,양배추,느타리버섯,,,,,,,,,,
322,유기농우유,중파,,,,,,,,,,,,
323,양파,방울토마토/대추형,유기농우유,유기농우유,,,,,,,,,,
324,콩나물,,,,,,,,,,,,,
325,부추,사과,,,,,,,,,,,,
326,두부,,,,,,,,,,,,,
327,방울토마토/대추형,중파,,,,,,,,,,,,
328,시금치,애호박,가지,,,,,,,,,,,
329,깻잎,,,,,,,,,,,,,
330,양파,,,,,,,,,,,,,
331,양파,방울토마토/대추형,상추,백미/유,유기농우유,,,,,,,,,
332,브로컬리,깻잎,,,,,,,,,,,,
333,두부,두부,유정란/친환경,유정란/친환경,애호박,무,무,유기농우유,도토리묵,느타리버섯,,,,
334,백미/유,유기농우유,,,,,,,,,,,,
335,양파,유기농우유,,,,,,,,,,,,
336,무,사과,구운도시락김,,,,,,,,,,,
337,백미/유,,,,,,,,,,,,,
338,유정란/친환경,,,,,,,,,,,,,
339,양파,,,,,,,,,,,,,
340,당면,,,,,,,,,,,,,
341,양파,사과/,대파,,,,,,,,,,,
342,양파,당면,,,,,,,,,,,,
343,양파,콩나물,사과/,시금치,연두부,당근,명태참어묵,,,,,,,
344,두부,양파,콩나물,시금치,대파,대파,깻잎,당면,,,,,,
345,사과/,,,,,,,,,,,,,
346,두부,시금치,연두부,,,,,,,,,,,
347,콩나물,사과/,,,,,,,,,,,,
348,콩나물,팽이버섯,찌개용두부,부추,,,,,,,,,,
349,유정란/친환경,참기름,찌개용두부,,,,,,,,,,,
350,유정란/친환경,당근,,,,,,,,,,,,
351,오이,오이,콩나물,중파,중파,,,,,,,,,
352,시금치,닭가슴살,,,,,,,,,,,,
353,떡국떡,양파,,,,,,,,,,,,
354,오이,무,깐마늘/난지형/유,당근,찌개용두부,,,,,,,,,
355,유정란/친환경,양파,완숙토마토,찌개용두부,양배추,,,,,,,,,
356,유정란/친환경,오이,연두부,완숙토마토,백미/유,부추,,,,,,,,
357,콩나물,사과/,,,,,,,,,,,,
358,콩나물,찌개용두부,,,,,,,,,,,,
359,콩국물,애호박,무,브로컬리,양배추,,,,,,,,,
360,유정란/친환경,콩나물,브로컬리,찌개용두부,,,,,,,,,,
361,콩나물,양송이버섯,,,,,,,,,,,,
362,닭가슴살,,,,,,,,,,,,,
363,콩나물,,,,,,,,,,,,,
364,오이,,,,,,,,,,,,,
365,콩국물,명태참어묵,,,,,,,,,,,,
366,양파,완숙토마토,찌개용두부,양배추,,,,,,,,,,
367,사과,,,,,,,,,,,,,
368,두부,유정란/친환경,콩나물,,,,,,,,,,,
369,동물복지유정란,황토숙주나물,,,,,,,,,,,,
370,콩나물,팽이버섯,가지,당면,닭가슴살,,,,,,,,,
371,유정란/친환경,무,양배추,,,,,,,,,,,
372,두부,오이,완숙토마토,,,,,,,,,,,
373,유정란/친환경,시금치,깻잎,,,,,,,,,,,
374,사과,,,,,,,,,,,,,
375,떡국떡,시금치,완숙토마토,사과,양송이버섯,,,,,,,,,
376,유정란/친환경,,,,,,,,,,,,,
377,양파,콩나물,사과,,,,,,,,,,,
378,두부,무,,,,,,,,,,,,
379,콩국물,유정란/친환경,누룽지,찌개용두부,,,,,,,,,,
380,양파,찌개용두부,,,,,,,,,,,,
381,쌈채소모음,,,,,,,,,,,,,
382,당근,,,,,,,,,,,,,
383,당근,,,,,,,,,,,,,
384,양파,,,,,,,,,,,,,
385,브로컬리,당근,,,,,,,,,,,,
386,브로컬리,,,,,,,,,,,,,
387,두부,양파,닭가슴살,,,,,,,,,,,
388,대파,양송이버섯,,,,,,,,,,,,
389,당근,,,,,,,,,,,,,
390,유정란/친환경,양파,,,,,,,,,,,,
391,두부,,,,,,,,,,,,,
392,두부,유정란/친환경,양파,중파,닭가슴살,,,,,,,,,
393,유정란/친환경,닭가슴살,,,,,,,,,,,,
394,두부,브로컬리,닭가슴살,,,,,,,,,,,
395,브로컬리,양송이버섯,닭가슴살,,,,,,,,,,,
396,유정란/친환경,완숙토마토,,,,,,,,,,,,
397,유정란/친환경,,,,,,,,,,,,,
398,브로컬리,,,,,,,,,,,,,
399,유정란/친환경,콩나물,방울토마토/대추형,브로컬리,,,,,,,,,,
400,방울토마토/대추형,브로컬리,가지,,,,,,,,,,,
401,완숙토마토,사과,,,,,,,,,,,,
402,콩나물,콩나물,깻잎,깻잎,,,,,,,,,,
403,양송이버섯,,,,,,,,,,,,,
404,무,사과,,,,,,,,,,,,
405,완숙토마토,,,,,,,,,,,,,
406,완숙토마토,완숙토마토,당근,당근,깻잎,깻잎,,,,,,,,
407,콩나물,가지,,,,,,,,,,,,
408,가지,사과,,,,,,,,,,,,
409,콩나물,브로컬리,찌개용두부,가지,,,,,,,,,,
410,브로컬리,,,,,,,,,,,,,
411,사과,,,,,,,,,,,,,
412,찌개용두부,양송이버섯,,,,,,,,,,,,
413,상추,사과,깻잎,양송이버섯,,,,,,,,,,
414,백미/유,,,,,,,,,,,,,
415,유정란/친환경,얼갈이,,,,,,,,,,,,
416,사과,,,,,,,,,,,,,
417,양파,애호박,당근,,,,,,,,,,,
418,유정란/친환경,누룽지,,,,,,,,,,,,
419,사과/,깐마늘/난지형/유,팽이버섯,,,,,,,,,,,
420,유정란/친환경,누룽지,당근,팽이버섯,,,,,,,,,,
421,떡국떡,,,,,,,,,,,,,
422,명태참어묵,양배추,,,,,,,,,,,,
423,콩나물,시금치,대파,,,,,,,,,,,
424,유정란/친환경,사과/,누룽지,,,,,,,,,,,
425,팽이버섯,,,,,,,,,,,,,
426,오이,,,,,,,,,,,,,
427,유정란/친환경,오이,,,,,,,,,,,,
428,유정란/친환경,완숙토마토,누룽지,,,,,,,,,,,
429,상추,,,,,,,,,,,,,
430,오이,연두부,브로컬리,,,,,,,,,,,
431,유정란/친환경,,,,,,,,,,,,,
432,콩나물,찌개용두부,,,,,,,,,,,,
433,연두부,대파,찌개용두부,,,,,,,,,,,
434,찌개용두부,,,,,,,,,,,,,
435,두부,중파,찌개용두부,,,,,,,,,,,
436,떡국떡,,,,,,,,,,,,,
437,오이,,,,,,,,,,,,,
438,당근,,,,,,,,,,,,,
439,유정란/친환경,,,,,,,,,,,,,
440,두부,유정란/친환경,중파,,,,,,,,,,,
441,중파,,,,,,,,,,,,,
442,콩나물,찌개용두부,,,,,,,,,,,,
443,두부,동물복지유정란,,,,,,,,,,,,
444,두부,연두부,찌개용두부,양배추,,,,,,,,,,
445,두부,유정란/친환경,연두부,,,,,,,,,,,
446,두부,유정란/친환경,,,,,,,,,,,,
447,동물복지유정란,,,,,,,,,,,,,
448,찌개용두부,,,,,,,,,,,,,
449,유정란/친환경,,,,,,,,,,,,,
450,애호박,,,,,,,,,,,,,
451,유정란/친환경,시금치,,,,,,,,,,,,
452,유정란/친환경,양배추,,,,,,,,,,,,
453,유정란/친환경,오이,,,,,,,,,,,,
454,오분도미/유,당근,대파,명태참어묵,양배추,,,,,,,,,
455,콩나물,누룽지,,,,,,,,,,,,
456,당근,월동무,대파,,,,,,,,,,,
457,시금치,,,,,,,,,,,,,
458,깻잎,,,,,,,,,,,,,
459,당근,대파,,,,,,,,,,,,
460,사과/,당근,,,,,,,,,,,,
461,콩나물,시금치,시금치,브로컬리,대파,느타리버섯,,,,,,,,
462,월동무,,,,,,,,,,,,,
463,대파,,,,,,,,,,,,,
464,콩나물,시금치,어린잎채소,대파,황토숙주나물,느타리버섯,,,,,,,,
465,당근,,,,,,,,,,,,,
466,찹쌀백미/유,,,,,,,,,,,,,
467,콩나물,누룽지,,,,,,,,,,,,
468,도토리묵,,,,,,,,,,,,,
469,닭가슴살,,,,,,,,,,,,,
470,참기름,깐마늘/난지형/유,얼갈이,도토리묵,,,,,,,,,,
471,오이,당근,부추,,,,,,,,,,,
472,양파,명태참어묵,,,,,,,,,,,,
473,양배추,,,,,,,,,,,,,
474,오이,누룽지,당근,부추,,,,,,,,,,
475,두부,오분도미/유,완숙토마토,얼갈이,도토리묵,,,,,,,,,
476,콩국물,두부,콩나물,어린잎채소,완숙토마토,가지,,,,,,,,
477,당근,,,,,,,,,,,,,
478,애호박,부추,,,,,,,,,,,,
479,양파,얼갈이,,,,,,,,,,,,
480,두부,콩나물,,,,,,,,,,,,
481,오이,,,,,,,,,,,,,
482,애호박,,,,,,,,,,,,,
483,중파,감자라면,닭가슴살,,,,,,,,,,,
484,오이,느타리버섯,,,,,,,,,,,,
485,깐마늘/난지형/유,가지,,,,,,,,,,,,
486,양배추,,,,,,,,,,,,,
487,애호박,가지,,,,,,,,,,,,
488,가지,,,,,,,,,,,,,
489,오이,무,중파,,,,,,,,,,,
490,양파,,,,,,,,,,,,,
491,애호박,가지,,,,,,,,,,,,
492,두부,가지,,,,,,,,,,,,
493,오이,누룽지,가지,도토리묵,,,,,,,,,,
494,두부,콩나물,애호박,애호박,깐마늘/난지형/유,중파,중파,,,,,,,
495,얼음식혜,,,,,,,,,,,,,
496,가지,,,,,,,,,,,,,
497,가지,,,,,,,,,,,,,
498,애호박,,,,,,,,,,,,,
499,참기름,부추,도토리묵,,,,,,,,,,,
500,양파,무,닭가슴살,,,,,,,,,,,
501,명태참어묵,,,,,,,,,,,,,
502,두부,,,,,,,,,,,,,
503,애호박,,,,,,,,,,,,,
504,떡국떡,,,,,,,,,,,,,
505,떡국떡,,,,,,,,,,,,,
506,떡국떡,,,,,,,,,,,,,
507,떡국떡,,,,,,,,,,,,,
508,브로컬리,,,,,,,,,,,,,
509,유정란/친환경,,,,,,,,,,,,,
510,사과,,,,,,,,,,,,,
511,사과/,찌개용두부,,,,,,,,,,,,
512,유정란/친환경,양배추,,,,,,,,,,,,
513,유정란/친환경,,,,,,,,,,,,,
514,찌개용두부,,,,,,,,,,,,,
515,양배추,,,,,,,,,,,,,
516,찌개용두부,,,,,,,,,,,,,
517,유정란/친환경,찌개용두부,,,,,,,,,,,,
518,유정란/친환경,가지,,,,,,,,,,,,
519,명태참어묵,양배추,,,,,,,,,,,,
520,양파,감자라면,,,,,,,,,,,,
521,오이,,,,,,,,,,,,,
522,동물복지유정란,,,,,,,,,,,,,
523,두부,오이,완숙토마토,브로컬리,깐마늘/난지형/유,당근,가지,,,,,,,
524,유정란/친환경,깻잎,,,,,,,,,,,,
525,두부,오이,,,,,,,,,,,,
526,방울토마토/대추형,찌개용두부,가지,,,,,,,,,,,
527,유정란/친환경,유정란/친환경,방울토마토/대추형,방울토마토/대추형,찌개용두부,,,,,,,,,
528,방울토마토/대추형,가지,깻잎,,,,,,,,,,,
529,방울토마토/대추형,유기농저지방우유,,,,,,,,,,,,
530,콩나물,중파,팽이버섯,,,,,,,,,,,
531,유정란/친환경,,,,,,,,,,,,,
532,오이,콩나물,,,,,,,,,,,,
533,애호박,무,대파,가지,당면,,,,,,,,,
534,유정란/친환경,콩나물,백미/유,팽이버섯,,,,,,,,,,
535,방울토마토/대추형,시금치,가지,깻잎,,,,,,,,,,
536,유정란/친환경,사과,,,,,,,,,,,,
537,두부,무,,,,,,,,,,,,
538,유기농저지방우유,,,,,,,,,,,,,
539,상추,백미/유,대파,느타리버섯,,,,,,,,,,
540,상추,,,,,,,,,,,,,
541,대파,양배추,,,,,,,,,,,,
542,유정란/친환경,오이,,,,,,,,,,,,
543,오이,,,,,,,,,,,,,
544,얼갈이,부추,,,,,,,,,,,,
545,부추,당면,,,,,,,,,,,,
546,찌개용두부,,,,,,,,,,,,,
547,오이,,,,,,,,,,,,,
548,오이,상추,찌개용두부,,,,,,,,,,,
549,백미/유,,,,,,,,,,,,,
550,백미/유,,,,,,,,,,,,,
551,찌개용두부,,,,,,,,,,,,,
552,부추,,,,,,,,,,,,,
553,깻잎,,,,,,,,,,,,,
554,상추,백미/유,,,,,,,,,,,,
555,시금치,,,,,,,,,,,,,
556,유정란/친환경,콩나물,도토리묵,,,,,,,,,,,
557,당근,,,,,,,,,,,,,
558,두부,당근,도토리묵,,,,,,,,,,,
559,콩국물,유정란/친환경,,,,,,,,,,,,
560,콩국물,두부,유정란/친환경,중파,,,,,,,,,,
561,두부,,,,,,,,,,,,,
562,콩국물,동물복지유정란,,,,,,,,,,,,
563,콩국물,동물복지유정란,,,,,,,,,,,,
564,콩국물,,,,,,,,,,,,,
565,두부,,,,,,,,,,,,,
566,콩국물,,,,,,,,,,,,,
567,콩국물,,,,,,,,,,,,,
568,콩국물,,,,,,,,,,,,,
569,콩국물,,,,,,,,,,,,,
570,두부,,,,,,,,,,,,,
571,유정란/친환경,중파,얼음식혜,,,,,,,,,,,
572,동물복지유정란,,,,,,,,,,,,,
